name,price,type,url,specifications
Гайковерт аккумуляторный 1/2' Bosch GDX 180-LI Professional (0 601 9G5 223),19 450,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/111167-gajkovert-akkumulyatornyj-1-2-bosch-gdx-180-li-professional-0-601-9g5-223,"{'Максимальный крутящий момент': '180\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2800\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '3.6\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2\xa0А⋅ч', 'Высота': '171\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '234\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '3600\xa0уд/мин', 'Посадка': '1/2""', 'Размер крепежа,М': '6;14', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер'}"
Гайковерт аккумуляторный DEWALT 12 В XR (DCF801D2-QW),19 668,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/113605-gajkovert-akkumulyatornyj-dewalt-12-v-xr-dcf801d2-qw,"{'Максимальный крутящий момент': '163\xa0Н⋅м', 'Тип и стандарт патрона': ""шестигранник 1/4'"", 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2850\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '0.8\xa0кг', 'Номинальное напряжение питания': '12\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2\xa0А⋅ч', 'Высота упаковки': '355\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина упаковки': '440\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Максимальное число ударов': '3600\xa0уд/мин', 'Масса брутто': '3.3\xa0кг', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '120\xa0мм'}"
Аккумуляторный ударный гайковерт Hikoki WR36DARGZ,59 999,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/114647-akkumulyatornyj-udarnyj-gajkovert-hikoki-wr36dargz,"{'Максимальный крутящий момент': '1180\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 3/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '1500\xa0об/мин', 'Регулировка частоты вращения': 'да', 'Подсветка рабочей зоны': 'да', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '3.7\xa0кг', 'Номинальное напряжение питания': '36\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2.5\xa0А⋅ч', 'Блокировка шпинделя': 'да', 'Вид регулировки': 'плавная, нажатием курка', 'Высота упаковки': '174\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина': '221\xa0мм', 'Длина упаковки': '520\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': 'нет', 'Дополнительная рукоятка': 'нет', 'Максимальная частота вращения шпинделя на холостом ходу': '1500\xa0об/мин', 'Максимальное число ударов': '2900\xa0уд/мин', 'Минимальная частота вращения': '0\xa0об/мин', 'Минимальное число ударов': '0\xa0уд/мин', 'Посадка': '3/4""', 'Размер крепежа,М': '12;30', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '380\xa0мм'}"
Импульсный гайковерт Dewalt 12 В XR BRUSHLESS (DCF903P1-QW),"20 398,8",Аккумуляторные гайковёрты,https://www.enkor24.ru/product/112985-impulsnyj-gajkovert-dewalt-12-v-xr-brushless-dcf903p1-qw,"{'Максимальный крутящий момент': '338\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 3/8""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '1', 'Частота вращения шпинделя на холостом ходу': '2850\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '0.9\xa0кг', 'Номинальное напряжение питания': '12\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '5\xa0А⋅ч', 'Высота упаковки': '103\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина упаковки': '600\xa0мм', 'Длительность зарядки аккумулятора примерная': '120\xa0мин', 'Максимальное число ударов': '3250\xa0уд/мин', 'Масса брутто': '5.7\xa0кг', 'Посадка': '3/8""', 'Размер крепежа,М': '8;20', 'Род тока': 'переменный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '335\xa0мм'}"
Аккумуляторный ударный гайковерт Metabo PowerMaxx SSD 12 (601114500) ,19 550,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/98539-akkumulyatornyj-udarnyj-gajkovert-metabo-powermaxx-ssd-12-601114500,"{'Максимальный крутящий момент': '115\xa0Н⋅м', 'Тип и стандарт патрона': 'внутренний шестигранник 1/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2500\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '1.1\xa0кг', 'Номинальное напряжение питания': '12\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2\xa0А⋅ч', 'Высота упаковки': '115\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '390\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '3500\xa0уд/мин', 'Масса брутто': '3\xa0кг', 'Посадка': '1/4""', 'Размер крепежа,М': '4;12', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '320\xa0мм'}"
Аккумуляторный ударный гайковерт Bosch GDX 18V-200 C Professional (0 601 9G4 201),43 500,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/98567-akkumulyatornyj-udarnyj-gajkovert-bosch-gdx-18v-200-c-professional-0-601-9g4-201,"{'Максимальный крутящий момент': '200\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '3400\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.2\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '5\xa0А⋅ч', 'Высота': '147\xa0мм', 'Высота упаковки': '147\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '253\xa0мм', 'Длина упаковки': '445\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '4000\xa0уд/мин', 'Масса брутто': '5.5\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '4;14', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '365\xa0мм'}"
Аккумуляторный ударный гайковерт Bosch GDS 18 V-LI HT Professional (0.601.9B1.300) ,40 900,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/99844-akkumulyatornyj-udarnyj-gajkovert-bosch-gds-18-v-li-ht-professional-0-601-9b1-300,"{'Максимальный крутящий момент': '650\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '1900\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '2.8\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Высота упаковки': '231\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '293\xa0мм', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '2100\xa0уд/мин', 'Масса брутто': '3\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '12;20', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '107\xa0мм'}"
Аккумуляторный ударный гайковерт Makita DTW251Z,14 700,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/100884-akkumulyatornyj-udarnyj-gajkovert-makita-dtw251z,"{'Максимальный крутящий момент': '230\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '2100\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '1.3\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Высота упаковки': '197\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '165\xa0мм', 'Длина упаковки': '178\xa0мм', 'Максимальное число ударов': '3200\xa0уд/мин', 'Масса брутто': '1.7\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '10;16', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '104\xa0мм'}"
Гайковерт аккумуляторный ударный Metabo PowerMaxx SSD 12 (601114890),10 850,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/104378-gajkovert-akkumulyatornyj-udarnyj-metabo-powermaxx-ssd-12-601114890,"{'Максимальный крутящий момент': '115\xa0Н⋅м', 'Тип и стандарт патрона': 'внутренний шестигранник 1/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '2500\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '1.1\xa0кг', 'Номинальное напряжение питания': '12\xa0В', 'Упаковка': 'картон', 'Высота упаковки': '110\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '390\xa0мм', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '3500\xa0уд/мин', 'Масса брутто': '1.5\xa0кг', 'Посадка': '1/4""', 'Размер крепежа,М': '4;12', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '290\xa0мм'}"
Аккумуляторный гайковерт Makita DTW180RFE,29 150,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/114524-akkumulyatornyj-gajkovert-makita-dtw180rfe,"{'Максимальный крутящий момент': '180\xa0Н⋅м', 'Максимальный диаметр завинчиваемого шурупа/болта': '16\xa0мм', 'Тип и стандарт патрона': 'наружный четырёхгранник 3/8""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2400\xa0об/мин', 'Регулировка частоты вращения': 'да', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '3\xa0А⋅ч', 'Блокировка шпинделя': 'да', 'Вид регулировки': 'плавная, нажатием курка', 'Высота упаковки': '310\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '420\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': 'нет', 'Дополнительная рукоятка': 'нет', 'Максимальная частота вращения шпинделя на холостом ходу': '2400\xa0об/мин', 'Максимальное число ударов': '3600\xa0уд/мин', 'Масса брутто': '4.6\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Минимальное число ударов': '0\xa0уд/мин', 'Посадка': '3/8""', 'Размер крепежа,М': '8;16', 'Род тока': 'постоянный', 'Сверление с ударом': 'нет', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '130\xa0мм'}"
Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 400 BL (602205890),no price,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/105112-akkumulyatornyj-udarnyj-gajkovert-metabo-ssw-18-ltx-400-bl-602205890,"{'Максимальный крутящий момент': '400\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '2150\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.9\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Высота упаковки': '110\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '290\xa0мм', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '4250\xa0уд/мин', 'Масса брутто': '2\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '20', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '390\xa0мм'}"
