name,"Аккумулятор Энкор А-18/1,5Л (50396)","Аккумулятор Энкор AccuMaster АК1811-1,5Li (49011)","Аккумулятор Энкор AccuMaster АК1821-1,5Ni","Аккумулятор Энкор А-14,4/1,5Л (50395)","Аккумулятор Энкор AccuMaster АК1816-4,0Li (49016)","Аккумулятор Энкор А-12/1,5Л (50394)","Аккумулятор 10,8 В 4,0 Ач  Li-Power",Аккумулятор (18 В; 5.0 А*ч; Li-Ion) DeWALT DCB184-XJ,Аккумулятор R03 NI-MN 1000мА.ч BP-2 2шт (153782),Аккумулятор КОСМОС R03 NI-MN 900мА.ч BP-2 2шт (127198),Аккумулятор КОСМОС R6 NI-MN 2800мА.ч BP-2 2шт (153783),"Аккумулятор 18 В 4,0 Ач  Li-Ion Bosch (0 602 494 004)","Аккумулятор Greenworks G24B2, 24V, 2 А.ч (2926707)",Аккумулятор BR 21VMax Pro UES (21 В; 2 А*ч; Li-ion) PATRIOT (180301120) ,Аккумулятор (82 В; 5 А*ч) G82B5 Greenworks (2914607) ,Аккумулятор КОСМОС R6 NI-MN 2500мА.ч BP-2 2шт (127202),Аккумулятор G40B4 (40V; 4 А.ч) GreenWorks (2927007),Аккумуляторная батарея HUTER 12В 7Ач (64/1/54),Аккумулятор (2 А*ч; 24 В) G24B2 Greenworks (2902707) ,"Аккумулятор компактный 36 В, 2.6 А.ч, Li-Ion Husqvarna BLi100 (9670918-01)",Аккумулятор (4 А*ч; 60 В) G60B4 Greenworks (2918407) ,"Аккумулятор Greenworks G24В4, 4 Ач (2926807)",Аккумулятор (2 А*ч; 60 В) G60B2 Greenworks (2918307),Акк. батарея  AР 115,Аккумулятор КОСМОС R6 NI-MN 1900мА.ч BP-2 2шт (127201),"Аккумулятор G40В2, 2 Ач Greenworks (2926907)","Аккумулятор LI-Power Extreme (18 В; 5,2 А*ч) Metabo (625592000)","Устройство зарядное VMX VC-10,8L (VM510441)","Устройство зарядное ЗУ-220/14,4ЛП",Зарядное устройство Энкор AccuMaster АК1830Li (49032),Устройство зарядное ЗУ-220/18ЛМ Энкор (50399),Устройство зарядное Энкор AccuMaster АК3642Li,Устройство зарядное VMX VC-18LS (VM510467),Устройство зарядное VMX VC-12L (VM510445),"Устройство зарядное ЗУ-220/10,8Л","Устройство зарядное ЗУ-220/14,4 Энкор (50352)","Устройство зарядное VMX VC-14,4LS (VM510457)","Устройство зарядное ЗУ-220/14,4Л Энкор (50398)",Устройство зарядное ЗУ-220/12Л Энкор (50397),"Устройство зарядное AL 1820 CV (14,4-18 В) Bosch (2 607 225 424)",Зарядное устройство QC80 (36 В; Li-Ion) Husqvarna (9673356-31),"Четырехканальное зарядное устройство 509, без аккумулятора КОСМОС KOC509 (407771)",Зарядное устройство G24C 24V GreenWorks (2932407),Устройство зарядное G40C 40 В Greenworks (2932507),Зарядное устройство Bosch AL1450 DV (2 607 224 701),Универсальное зарядное устройство (18-54 В) DEWALT DCB118-QW,Устройство зарядное GL 210 21VMax 2.2A UES PATRIOT (180301002) ,Устройство зарядное КОСМОС 503 без аккумулятора 8ч (3362),"Зарядное устройство 501, без аккумулятора КОСМОС KOC501 (3233)",Устройство зарядное (12 В; Li-ion) AL 1230 CV Bosch (2 607 225 134),Устройство быстрой зарядки STIHL AL 300 (4850-430-5500),Зарядное устройство 36 В Husqvarna QC330 (9670914-01),Устройство зарядное Makita DC10WA (194588-1),Зарядное устройство LC 40 (10.8 В) Metabo (627064000),Aккумуляторное зарядное устройство GAL 18V-40 Bosch (1 600 A01 9RJ),Зарядное устройство Greenworks G82C (2914707) ,Зарядное устройство Li-Ion GAL 1880 CV Bosch (1 600 A00 B8G),Быстрозарядное устройство Bosch GAL 18V-20 12V-18V 2A 220V-240V (2 607 226 281),Зарядное устройство с радио Metabo RC 12 Wild Cat Li-Ion (602113000),Устройство зарядное для Li-Ion шуруповертов PATRIOT (180201110),Устройство зарядное Li-Ion GAL 12V-40 Bosch (1 600 A01 9R3),Устройство зарядное для Li-Ion шуруповертов BR 141Li PATRIOT (180201111),Зарядное устройство быстрое G40UC4 40В Greenworks (2924107),Зарядное устройство для стеклоочистителя WV Karcher (2.633-107),"Устройство зарядное ASC 55, 12-36 В «AIR COOLED» Metabo (627044000)","Зарядное устройство DC18SF (14,4/18 В) Makita (196430-2)",Зарядное устройство XR Li-Ion (10.8 В/14.4 В/18.0 В) DEWALT DCB115-QW,Устройство зарядное Makita DC 18 SD (197006-8),"Зарядное устройство 18 В, 75 мин, 1A Stanley SC201-RU",Устройство зарядное Kress KCH 2006 ,Зарядное устройство G40C (40 В) Greenworks (2910907),Зарядное устройство (2 А*ч/ 4 А*ч; 24 В) G24C Greenworks (2903607),Устройство зарядное с радио BOSCH GPB 12V-10 Professinal (0 601 429 200),Зарядное устройство с радио BOSCH GML 50 (0 601 429 600),Зарядное устройство для аккумуляторов DC1804 Makita (193827-6),Зарядное устройство GAX 18V-30 Professional (10.8-18 В; USB) Bosch (1 600 A01 1A9),"Устройство быстрозарядное для аккумуляторов AL 2450 DV 7,2V Bosch (2 607 225 028)",Устройство зарядное AL 1130 CV (30 мин) Bosch (1 600 Z00 03L),"Зарядное устройство DC40RA XGT, 40В, быстрое Makita (191E10-9)","Зарядное устройство C 60 (12В, Ni-Cd) Metabo (627053000)",Устройство зарядное для аккумуляторов Bosch AL 60 DV (2 607 224 426),Зарядное устройство (7.2-24 В; 230 В; 0.4 А) Bosch (2 607 225 184),Зарядное устройство Makita DC1414 (193864-0),Устройство зарядное Makita DC18RC (195915-5),Зарядное устройство Li-Ion 230 В для газонокосилок Rotak Li 34; 37; 43 Bosch (2 607 225 100),Зарядное устройство для Power Max Li-ion Metabo (627306000),Зарядное устройство Bosch (2 609 007 262)
https://www.enkor24.ru/product/77375-akkumulyatornyj-trimmer-stihl-fsa-56-s-al-101-ak-10-4522-011-5718,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,85.71,14.29,42.86,35.71,7.14,35.71,42.86,14.29,14.29,42.86,57.14,85.71,42.86,42.86,42.86,35.71,42.86,42.86,42.86,42.86,42.86,42.86,35.71,7.14,64.29,42.86,42.86,21.43,42.86,42.86,35.71,42.86,42.86,42.86,21.43,42.86,21.43,42.86,35.71,21.43,21.43,21.43,21.43,21.43,85.71,42.86,42.86
https://www.enkor24.ru/product/103436-trimmer-akkumulyatornyj-makita-dur181rf,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5,42.86,7.14,85.71,85.71,7.14,85.71,14.29,7.14,21.43,42.86,42.86,42.86,85.71,35.71,14.29,35.71,35.71,7.14,35.71,35.71,14.29,14.29,42.86,35.71,35.71,64.29,42.86,85.71,35.71,85.71,85.71,42.86,42.86,42.86,42.86,35.71,7.14,14.29,100.0,85.71,85.71,85.71,35.71,35.71,35.71,42.86,85.71,85.71,85.71,14.29,42.86,57.14,21.43,14.29,14.29,42.86,85.71,35.71,42.86,42.86
https://www.enkor24.ru/product/108564-trimmer-akkumulyatornyj-greenworks-g40lt30-21107,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,100.0,25.0,62.5,50.0,56.25,62.5,56.25,56.25,18.75,100.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,42.86,14.29,64.29,100.0,7.14,35.71,42.86,14.29,14.29,42.86,35.71,42.86,42.86,42.86,42.86,57.14,42.86,42.86,42.86,42.86,42.86,42.86,100.0,7.14,21.43,42.86,42.86,21.43,42.86,42.86,100.0,64.29,42.86,42.86,21.43,42.86,21.43,42.86,85.71,21.43,21.43,21.43,21.43,21.43,42.86,42.86,42.86
https://www.enkor24.ru/product/109009-trimmer-akkumulyatornyj-makita-dur190uzx3,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5,42.86,7.14,85.71,85.71,7.14,85.71,14.29,7.14,21.43,42.86,42.86,42.86,85.71,35.71,14.29,35.71,35.71,7.14,35.71,35.71,14.29,14.29,42.86,35.71,35.71,64.29,42.86,85.71,35.71,85.71,85.71,42.86,42.86,42.86,42.86,35.71,7.14,14.29,100.0,85.71,85.71,85.71,35.71,35.71,35.71,42.86,85.71,85.71,85.71,14.29,42.86,57.14,21.43,14.29,14.29,42.86,85.71,35.71,42.86,42.86
https://www.enkor24.ru/product/91191-akkumulyatornyj-trimmer-stihl-fsa-90-4863-200-0053,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,85.71,14.29,42.86,35.71,7.14,35.71,42.86,14.29,14.29,42.86,57.14,85.71,42.86,42.86,42.86,35.71,42.86,42.86,42.86,42.86,42.86,42.86,35.71,7.14,64.29,42.86,42.86,21.43,42.86,42.86,35.71,42.86,42.86,42.86,21.43,42.86,21.43,42.86,35.71,21.43,21.43,21.43,21.43,21.43,85.71,42.86,42.86
https://www.enkor24.ru/product/109239-trimmer-akkumulyatornyj-patriot-tr-235-li-21v-ues-250205235,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,50.0,100.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,35.71,14.29,35.71,35.71,7.14,35.71,100.0,14.29,14.29,42.86,35.71,35.71,42.86,42.86,42.86,35.71,42.86,42.86,42.86,64.29,42.86,64.29,35.71,7.14,14.29,42.86,42.86,21.43,42.86,42.86,35.71,35.71,42.86,42.86,21.43,42.86,14.29,42.86,35.71,21.43,14.29,14.29,21.43,21.43,35.71,42.86,42.86
https://www.enkor24.ru/product/112346-trimmer-akkumulyatornyj-stihl-fsa-60-r-fa04-011-5704,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,85.71,14.29,42.86,35.71,7.14,35.71,42.86,14.29,14.29,42.86,57.14,85.71,42.86,42.86,42.86,35.71,42.86,42.86,42.86,42.86,42.86,42.86,35.71,7.14,64.29,42.86,42.86,21.43,42.86,42.86,35.71,42.86,42.86,42.86,21.43,42.86,21.43,42.86,35.71,21.43,21.43,21.43,21.43,21.43,85.71,42.86,42.86
https://www.enkor24.ru/product/96170-akkumulyatornyj-trimmer-gardena-smallcut-li-23r-09822-20-000-00,37.5,37.5,18.75,81.25,50.0,43.75,56.25,50.0,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,43.75,42.86,7.14,35.71,35.71,7.14,35.71,14.29,7.14,64.29,85.71,85.71,42.86,35.71,35.71,14.29,35.71,35.71,7.14,35.71,35.71,14.29,14.29,42.86,35.71,35.71,42.86,42.86,35.71,35.71,35.71,35.71,42.86,42.86,42.86,42.86,35.71,7.14,14.29,35.71,35.71,14.29,35.71,35.71,35.71,35.71,42.86,35.71,14.29,35.71,14.29,42.86,35.71,21.43,14.29,14.29,64.29,14.29,35.71,42.86,42.86
https://www.enkor24.ru/product/104023-trimmer-akkumulyatornyj-patriot-tr-240-li-21v-max-ues-250205240,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,50.0,100.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,35.71,14.29,35.71,35.71,7.14,35.71,100.0,14.29,14.29,42.86,35.71,35.71,42.86,42.86,42.86,35.71,42.86,42.86,42.86,64.29,42.86,64.29,35.71,7.14,14.29,42.86,42.86,21.43,42.86,42.86,35.71,35.71,42.86,42.86,21.43,42.86,14.29,42.86,35.71,21.43,14.29,14.29,21.43,21.43,35.71,42.86,42.86
https://www.enkor24.ru/product/108545-akkumulyatornyj-trimmer-greenworks-g24lt25-24-v-2107207,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,100.0,56.25,50.0,18.75,56.25,25.0,100.0,50.0,56.25,100.0,56.25,50.0,18.75,56.25,50.0,42.86,7.14,42.86,42.86,7.14,42.86,14.29,7.14,21.43,42.86,42.86,42.86,42.86,35.71,14.29,100.0,57.14,7.14,35.71,42.86,14.29,14.29,42.86,35.71,35.71,42.86,42.86,42.86,57.14,42.86,42.86,42.86,42.86,42.86,42.86,57.14,7.14,14.29,42.86,42.86,21.43,42.86,42.86,57.14,100.0,42.86,42.86,21.43,42.86,64.29,42.86,35.71,21.43,64.29,64.29,21.43,21.43,35.71,42.86,42.86
